No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
32,3.0,6.0,27.0,72.0,600.0,17.0,-1.7,1029.8,-17.0,0.0,1.2
33,3.0,6.0,27.0,70.0,600.0,21.0,-0.4,1029.6,-17.6,0.0,1.8
34,3.0,8.0,10.0,42.0,400.0,49.0,0.6,1029.7,-16.7,0.0,1.7
35,3.0,6.0,14.0,48.0,500.0,44.0,1.7,1028.9,-16.3,0.0,1.6
36,3.0,11.0,17.0,62.0,700.0,32.0,2.2,1028.2,-16.8,0.0,3.1
37,14.0,18.0,18.0,68.0,800.0,30.0,2.7,1027.3,-16.4,0.0,2.7
38,21.0,25.0,15.0,51.0,600.0,47.0,3.3,1025.7,-16.4,0.0,1.5
39,28.0,32.0,16.0,45.0,700.0,54.0,3.8,1024.8,-16.0,0.0,1.3
40,31.0,32.0,25.0,48.0,900.0,53.0,3.9,1024.1,-16.5,0.0,1.2
41,33.0,46.0,42.0,60.0,1200.0,44.0,3.5,1023.6,-15.2,0.0,2.5
42,45.0,62.0,47.0,66.0,1100.0,38.0,2.2,1023.4,-13.6,0.0,0.4
43,52.0,71.0,52.0,72.0,1100.0,31.0,1.2,1023.2,-12.3,0.0,0.9
44,58.0,83.0,56.0,88.0,1200.0,16.0,1.5,1022.9,-13.8,0.0,1.2
45,67.0,90.0,57.0,100.0,1399.0,5.0,1.2,1022.9,-14.1,0.0,1.2
46,79.0,98.0,57.0,106.0,1700.0,2.0,0.6,1022.6,-14.2,0.0,1.3
47,86.0,102.0,51.0,108.0,1899.0,2.0,-0.6,1022.3,-13.9,0.0,1.4
48,79.0,88.0,50.0,104.0,1700.0,2.0,-0.8,1021.1,-13.4,0.0,1.3
49,77.0,93.0,69.0,106.0,1899.0,2.0,-1.4,1020.4,-13.0,0.0,1.2
50,93.0,104.0,92.0,106.0,2399.0,2.0,-2.0,1019.4,-13.2,0.0,1.2
51,103.0,113.0,122.0,106.0,3200.0,2.0,-2.8,1018.3,-12.3,0.0,1.4
52,113.0,126.0,131.0,105.0,2600.0,2.0,-2.6,1017.2,-13.2,0.0,1.2
53,98.0,104.0,116.0,100.0,2200.0,2.0,-4.3,1016.9,-11.8,0.0,0.9
54,86.0,95.0,80.0,96.0,2399.0,2.0,-5.6,1016.3,-10.9,0.0,0.8
55,83.0,94.0,62.0,97.0,2600.0,2.0,-5.8,1016.2,-11.0,0.0,0.8
56,82.0,100.0,75.0,100.0,2500.0,2.0,-3.1,1016.5,-11.1,0.0,1.5
57,79.0,102.0,78.0,98.0,2600.0,2.0,0.7,1016.2,-13.0,0.0,2.3
58,82.0,115.0,131.0,102.0,2700.0,3.0,3.5,1015.8,-13.8,0.0,0.4
59,90.0,124.0,161.0,104.0,2500.0,7.0,6.5,1014.9,-13.2,0.0,1.3
60,98.0,123.0,130.0,111.0,2600.0,10.0,11.4,1013.8,-10.8,0.0,0.9
61,104.0,143.0,90.0,116.0,2500.0,15.0,13.8,1012.5,-13.3,0.0,1.1
62,92.0,133.0,42.0,87.0,1500.0,32.0,16.0,1011.5,-13.5,0.0,5.9
63,74.0,102.0,19.0,52.0,900.0,58.0,16.7,1010.8,-14.0,0.0,4.3
64,47.0,109.0,6.0,24.0,400.0,78.0,16.9,1010.5,-12.7,0.0,2.0
65,22.0,88.0,22.0,54.0,800.0,67.0,16.4,1010.6,-15.4,0.0,2.9
66,52.0,121.0,34.0,79.0,1100.0,52.0,13.1,1011.1,-10.1,0.0,1.7
67,65.0,135.0,42.0,99.0,1399.0,35.0,8.7,1012.3,-11.3,0.0,1.6
68,92.0,187.0,67.0,146.0,2100.0,6.0,12.2,1013.4,-13.7,0.0,2.0
69,138.0,234.0,60.0,144.0,2399.0,2.0,11.7,1013.5,-12.6,0.0,0.9
70,143.0,216.0,14.0,95.0,1300.0,8.0,5.3,1013.6,-10.9,0.0,0.0
71,13.0,47.0,9.0,93.0,1100.0,3.0,3.1,1014.1,-10.2,0.0,1.8
72,30.0,50.0,9.0,95.0,1500.0,2.0,5.2,1014.8,-10.6,0.0,1.7
73,28.0,48.0,22.0,94.0,1700.0,2.0,7.7,1015.7,-11.1,0.0,2.6
74,35.0,50.0,41.0,79.0,1100.0,11.0,8.2,1016.7,-11.7,0.0,2.8
75,26.0,50.0,15.0,31.0,500.0,53.0,8.1,1016.7,-11.8,0.0,4.3
76,8.0,28.0,6.0,26.0,400.0,61.0,7.2,1016.9,-11.6,0.0,2.8
77,4.0,20.0,13.0,33.0,400.0,49.0,6.0,1018.0,-11.6,0.0,1.0
78,6.0,25.0,16.0,26.0,400.0,54.0,2.7,1018.6,-10.9,0.0,0.5
79,10.0,26.0,18.0,39.0,600.0,40.0,3.8,1018.9,-11.4,0.0,2.3
80,7.0,22.0,23.0,67.0,800.0,16.0,6.5,1019.7,-10.7,0.0,2.3
81,10.0,28.0,27.0,67.0,800.0,20.0,9.0,1020.7,-12.2,0.0,3.1
82,13.0,29.0,32.0,52.0,700.0,37.0,10.6,1020.8,-12.1,0.0,1.3
83,10.0,22.0,12.0,31.0,500.0,62.0,11.9,1020.4,-12.4,0.0,2.1
84,9.0,14.0,11.0,31.0,500.0,67.0,13.1,1020.0,-13.0,0.0,3.0
85,9.0,25.0,12.0,28.0,400.0,73.0,14.2,1018.9,-13.9,0.0,2.7
86,15.0,18.0,8.0,22.0,400.0,80.0,15.3,1017.8,-13.0,0.0,2.0
87,3.0,10.0,3.0,18.0,300.0,88.0,15.2,1017.0,-13.1,0.0,0.7
88,6.0,8.0,6.0,31.0,400.0,76.0,15.3,1016.3,-13.0,0.0,2.4
89,3.0,6.0,10.0,35.0,400.0,84.0,14.5,1015.7,-13.7,0.0,2.6
90,3.0,100.0,7.0,41.0,400.0,95.0,12.7,1015.9,-11.8,0.0,2.6
91,17.0,70.0,9.0,51.0,500.0,80.0,11.6,1016.5,-11.3,0.0,3.4
92,27.0,58.0,14.0,70.0,600.0,58.0,10.9,1016.6,-10.6,0.0,3.5
93,36.0,75.0,21.0,79.0,600.0,46.0,9.9,1016.9,-10.3,0.0,3.1
94,41.0,78.0,45.0,87.0,700.0,37.0,8.4,1016.9,-10.0,0.0,2.1
95,53.0,94.0,66.0,98.0,900.0,24.0,8.6,1016.3,-9.9,0.0,2.4
96,59.0,103.0,48.0,96.0,1000.0,95.0,7.7,1015.7,-9.3,0.0,2.1
97,70.0,102.0,57.0,90.0,1200.0,95.0,4.7,1015.2,-9.1,0.0,1.6
98,93.0,116.0,76.0,81.0,1300.0,95.0,1.1,1014.7,-7.9,0.0,0.0
99,108.0,135.0,78.0,88.0,1399.0,95.0,-0.6,1014.4,-8.1,0.0,0.0
100,116.0,143.0,88.0,84.0,1500.0,95.0,0.2,1014.0,-8.8,0.0,1.2
101,121.0,137.0,79.0,90.0,1700.0,95.0,1.8,1013.7,-9.5,0.0,1.5
102,121.0,138.0,69.0,97.0,2299.0,95.0,0.6,1013.9,-9.4,0.0,0.8
103,111.0,146.0,84.0,101.0,2700.0,95.0,-0.2,1013.4,-8.6,0.0,1.3
104,100.0,130.0,85.0,98.0,3000.0,95.0,2.9,1013.4,-9.1,0.0,1.3
105,98.0,136.0,78.0,97.0,3000.0,95.0,5.1,1013.4,-9.1,0.0,1.2
106,106.0,168.0,87.0,97.0,2600.0,95.0,7.7,1012.8,-8.4,0.0,1.5
107,111.0,142.0,84.0,100.0,2399.0,95.0,9.4,1012.0,-8.2,0.0,1.5
108,119.0,141.0,84.0,104.0,2200.0,95.0,10.6,1011.1,-8.1,0.0,1.4
109,129.0,154.0,84.0,118.0,2100.0,31.0,11.9,1009.7,-7.5,0.0,1.3
110,135.0,152.0,74.0,126.0,2000.0,95.0,12.6,1008.5,-8.0,0.0,1.0
111,128.0,139.0,69.0,145.0,2200.0,95.0,13.5,1007.7,-7.8,0.0,1.4
112,152.0,152.0,67.0,166.0,2399.0,95.0,13.8,1007.2,-7.6,0.0,1.2
113,158.0,158.0,77.0,190.0,2700.0,95.0,13.2,1007.1,-7.0,0.0,2.0
114,178.0,189.0,86.0,206.0,3000.0,80.0,12.1,1007.7,-6.4,0.0,1.6
115,196.0,216.0,96.0,197.0,2700.0,58.0,9.0,1008.2,-5.7,0.0,1.4
116,200.0,224.0,93.0,194.0,2899.0,46.0,5.3,1008.5,-4.8,0.0,0.0
117,201.0,224.0,94.0,189.0,2899.0,39.0,3.3,1008.7,-4.7,0.0,0.2
118,207.0,224.0,89.0,189.0,3500.0,39.0,2.9,1009.0,-4.6,0.0,1.2
119,215.0,236.0,100.0,192.0,3700.0,39.0,5.2,1008.9,-6.1,0.0,1.1
120,215.0,227.0,123.0,195.0,4200.0,39.0,4.9,1008.4,-6.1,0.0,1.4
121,230.0,248.0,136.0,188.0,4700.0,39.0,4.9,1008.5,-6.4,0.0,1.2
122,244.0,264.0,119.0,172.0,4200.0,39.0,4.8,1008.3,-5.9,0.0,1.5
123,176.0,222.0,17.59094149754264,158.0,3500.0,39.0,4.1,1007.8,-5.9,0.0,1.9
124,160.0,189.0,102.0,160.0,1271.294377232746,39.0,4.0,1007.6,-6.3,0.0,1.9
125,194.0,204.0,89.0,57.901642517076006,3100.0,39.0,3.9,1007.3,-6.1,0.0,1.4
126,186.0,194.0,111.0,154.0,3299.0,39.0,4.1,1007.8,-5.7,0.0,1.6
127,163.0,186.0,115.0,160.0,3299.0,39.0,4.5,1008.4,-5.3,0.0,2.0
128,158.0,188.0,100.0,153.0,3399.0,39.0,5.7,1009.3,-5.0,0.0,1.7
129,192.0,204.0,115.0,135.0,2899.0,39.0,6.6,1009.3,-4.8,0.0,1.7
130,191.0,225.0,102.0,120.0,2500.0,39.0,7.5,1009.1,-4.6,0.0,1.7
131,178.0,182.0,105.0,117.0,2399.0,39.0,8.7,1008.6,-4.5,0.0,1.5
132,176.0,181.0,112.0,118.0,2399.0,39.0,10.1,1007.7,-4.7,0.0,1.4
133,185.0,195.0,131.0,135.0,3100.0,39.0,11.1,1006.9,-4.2,0.0,0.4
134,208.0,225.0,134.0,150.0,3500.0,36.0,12.6,1005.8,-3.7,0.0,1.5
135,218.0,245.0,130.0,157.0,3399.0,25.0,14.5,1005.5,-3.3,0.0,1.6
136,232.0,256.0,146.0,158.0,3299.0,18.0,14.7,1005.5,-3.2,0.0,2.5
137,228.0,248.0,139.0,173.0,3500.0,12.0,14.2,1005.5,-3.2,0.0,1.4
138,226.0,252.0,151.0,173.0,3500.0,12.0,11.6,1005.9,-3.4,0.0,1.1
139,228.0,277.0,145.0,164.0,3200.0,12.0,6.8,1006.8,-2.9,0.0,0.9
140,225.0,265.0,148.0,171.0,3399.0,12.0,5.1,1007.6,-2.5,0.0,1.2
141,231.0,270.0,140.0,169.0,3700.0,12.0,4.4,1008.2,-2.5,0.0,1.1
142,236.0,266.0,156.0,162.0,3600.0,12.0,3.8,1007.7,-2.2,0.0,1.9
143,231.0,262.0,158.0,159.0,3700.0,12.0,2.4,1007.3,-2.5,0.0,1.2
144,238.0,266.0,149.0,156.0,4200.0,12.0,2.3,1007.2,-2.4,0.0,1.3
145,242.0,275.0,145.0,151.0,4099.0,12.0,1.5,1007.1,-2.6,0.0,0.8
146,246.0,281.0,140.0,148.0,3899.0,12.0,0.7,1007.1,-2.7,0.0,1.2
147,236.0,264.0,133.0,140.0,3600.0,12.0,1.5,1006.9,-2.5,0.0,0.6
148,224.0,260.0,122.0,132.0,3600.0,12.0,0.3,1006.5,-2.7,0.0,1.7
149,221.0,254.0,99.0,122.0,3500.0,12.0,-0.9,1006.4,-3.3,0.0,0.5
150,218.0,232.0,79.0,116.0,3700.0,12.0,1.6,1006.7,-1.5,0.0,1.7
151,214.0,222.0,70.0,116.0,4299.0,12.0,0.3,1006.6,-2.7,0.0,0.4
152,220.0,246.0,66.0,124.0,5400.0,12.0,2.4,1006.8,-1.4,0.0,1.5
153,237.0,250.0,80.0,157.0,6799.0,12.0,8.3,1006.5,-1.0,0.0,0.8
154,262.0,342.0,140.0,184.0,5900.0,12.0,10.1,1006.1,-0.7,0.0,0.6
155,278.0,333.0,141.0,199.0,5000.0,12.0,12.7,1005.5,-1.6,0.0,1.2
156,280.0,299.0,127.0,233.0,5299.0,12.0,16.5,1003.6,-1.6,0.0,1.7
157,289.0,328.0,109.0,270.0,5700.0,12.0,17.1,1001.6,-3.1,0.0,3.7
158,297.0,344.0,92.0,204.0,3700.0,29.0,17.7,1000.2,-3.2,0.0,3.1
159,252.0,254.0,88.0,142.0,3000.0,72.0,18.3,998.6,-3.2,0.0,3.6
160,264.0,282.0,56.0,89.0,2100.0,96.0,18.6,997.6,-1.8,0.0,3.3
161,230.0,230.0,48.0,74.0,1700.0,107.0,17.9,997.2,-0.9,0.0,1.9
162,192.0,205.0,63.0,96.0,1899.0,107.0,15.4,997.1,-1.7,0.0,1.4
163,205.0,242.0,63.0,122.0,2000.0,107.0,14.4,997.4,-2.5,0.0,1.9
164,197.0,235.0,57.0,163.0,2500.0,18.0,13.4,997.9,-2.6,0.0,1.5
165,197.0,247.0,82.0,218.0,3399.0,107.0,11.8,997.7,-2.1,0.0,1.5
166,263.0,309.0,137.0,226.0,4099.0,107.0,9.2,997.9,-1.3,0.0,1.4
167,319.0,375.0,123.0,226.0,4700.0,107.0,7.5,998.3,-1.2,0.0,1.3
168,369.0,414.0,109.0,221.0,4900.0,107.0,6.6,998.4,-0.9,0.0,0.1
169,358.0,372.0,118.0,214.0,4200.0,107.0,4.1,998.2,-1.3,0.0,0.0
170,353.0,368.0,107.0,197.0,4099.0,107.0,3.3,998.5,-1.7,0.0,0.9
171,351.0,361.0,87.0,192.0,4599.0,107.0,2.5,998.2,-1.9,0.0,0.8
172,335.0,337.0,81.0,192.0,4799.0,107.0,1.8,997.9,-1.8,0.0,0.0
173,273.0,308.0,75.0,175.0,4200.0,107.0,1.3,998.5,-1.8,0.0,1.0
174,265.0,293.0,70.0,176.0,4000.0,107.0,1.4,999.0,-1.5,0.0,0.8
175,291.0,293.0,74.0,173.0,4500.0,107.0,1.1,999.7,-1.8,0.0,0.8
176,282.0,307.0,65.0,182.0,5400.0,107.0,5.7,1000.4,0.5,0.0,1.0
177,266.0,308.0,78.0,191.0,6299.0,107.0,10.9,1000.8,1.4,0.0,0.7
178,315.0,358.0,86.0,214.0,6500.0,107.0,16.9,1001.1,-0.4,0.0,1.0
179,314.0,331.0,72.5424,220.0816,1271.294377232746,107.0,19.1,1000.9,-0.4,0.0,1.9
180,225.0,258.0,56.0,202.0,4099.0,107.0,20.5,1000.5,-3.3,0.0,4.4
181,185.0,210.0,45.0,172.0,3100.0,107.0,21.7,999.4,-2.3,0.0,3.0
182,133.0,188.0,35.0,97.0,1500.0,107.0,22.5,998.2,-2.3,0.0,3.3
183,127.0,185.0,36.0,68.0,1300.0,107.0,17.4,998.3,1.4,0.0,4.5
184,268.0,501.0,88.0,136.0,3799.0,107.0,13.9,999.5,1.2,0.0,2.7
185,163.0,277.0,63.0,85.0,1800.0,104.0,11.9,1000.2,0.0,0.0,2.6
186,116.0,170.0,46.0,63.0,1100.0,104.0,10.3,999.9,-0.5,0.0,2.8
187,84.0,117.0,40.0,60.0,800.0,104.0,9.3,1000.6,-0.9,0.0,1.4
188,73.0,91.0,39.0,55.0,800.0,104.0,8.0,1000.5,-0.3,0.0,0.8
189,90.0,116.0,43.0,77.0,1000.0,104.0,7.9,1000.4,-1.6,0.0,1.4
190,48.0,63.0,36.0,49.0,900.0,104.0,7.2,1000.0,-1.5,0.0,1.6
191,46.0,84.0,40.0,81.0,1300.0,104.0,6.3,999.0,-3.4,0.0,0.9
192,78.0,92.0,55.0,83.0,1600.0,104.0,5.7,997.7,-3.4,0.0,1.0
193,47.0,61.0,61.0,64.0,1600.0,104.0,3.6,996.1,-2.6,0.0,0.6
194,52.0,73.0,66.0,71.0,1800.0,104.0,2.1,994.9,-2.6,0.0,1.1
195,62.0,88.0,76.0,60.0,2100.0,104.0,1.4,994.1,-3.1,0.0,0.0
196,70.0,96.0,83.0,65.0,2299.0,104.0,1.1,993.0,-3.2,0.0,1.4
197,73.0,97.0,85.0,57.0,2299.0,104.0,1.8,992.0,-2.3,0.0,0.0
198,74.0,96.0,63.0,97.0,2200.0,104.0,3.2,992.0,-2.8,0.0,1.3
199,97.0,112.0,63.0,97.0,1899.0,104.0,2.8,992.2,-2.5,0.0,1.0
200,98.0,116.0,67.0,94.0,1800.0,104.0,4.6,992.9,-2.1,0.0,1.8
201,99.0,121.0,68.0,92.0,1800.0,104.0,8.4,994.1,-1.7,0.0,2.6
202,104.0,146.0,86.0,98.0,1899.0,104.0,16.3,995.9,-0.4,0.0,3.3
203,125.0,328.0,79.0,90.0,1800.0,104.0,16.7,998.3,-4.6,0.0,7.7
204,76.0,737.0,20.0,36.0,600.0,104.0,14.3,1001.3,-9.1,0.0,7.4
205,44.0,987.0,3.0,21.0,200.0,104.0,12.4,1004.3,-14.4,0.0,7.9
206,48.0,109.02330301717916,3.0,18.0,200.0,104.0,10.3,1006.5,-17.0,0.0,7.2
207,48.0,109.02330301717916,3.0,18.0,200.0,87.0,10.5,1008.1,-16.8,0.0,6.7
208,41.0,448.0,3.0,18.0,200.0,87.0,10.2,1009.4,-17.1,0.0,3.9
209,12.0,191.0,3.0,20.0,200.0,87.0,10.5,1010.8,-17.8,0.0,4.8
210,10.0,171.0,4.0,23.0,200.0,87.0,8.6,1013.0,-18.3,0.0,4.8
211,12.0,140.0,3.0,23.0,200.0,87.0,7.4,1015.9,-19.3,0.0,4.8
212,9.0,112.0,8.0,26.0,200.0,87.0,6.4,1018.1,-18.4,0.0,3.5
213,10.0,87.0,8.0,24.0,200.0,87.0,5.6,1019.7,-18.3,0.0,4.5
214,10.0,64.0,11.0,27.0,200.0,87.0,4.8,1020.3,-17.6,0.0,3.3
215,9.0,41.0,11.0,28.0,200.0,87.0,3.8,1021.2,-17.8,0.0,1.2
216,12.0,24.0,4.0,29.0,300.0,87.0,0.8,1021.3,-14.1,0.0,0.6
217,12.0,22.0,3.0,31.0,300.0,87.0,-0.5,1020.8,-13.4,0.0,0.0
218,13.0,21.0,7.0,37.0,400.0,87.0,-0.2,1021.1,-11.6,0.0,1.0
219,15.0,41.0,7.0,44.0,400.0,87.0,-2.1,1020.9,-11.7,0.0,0.7
220,16.0,30.0,14.0,46.0,1271.294377232746,87.0,-2.0,1021.1,-11.8,0.0,1.2
221,3.0,7.0,8.0,47.0,600.0,87.0,-1.3,1021.9,-14.8,0.0,0.0
222,14.0,18.0,9.0,61.0,700.0,87.0,-1.8,1022.0,-10.9,0.0,1.7
223,18.0,41.0,24.0,88.0,1200.0,87.0,-2.0,1022.5,-11.8,0.0,0.0
224,29.0,55.0,35.0,91.0,1300.0,87.0,3.5,1023.2,-14.7,0.0,2.3
225,22.0,50.0,39.0,78.0,1000.0,87.0,5.3,1023.5,-15.9,0.0,4.6
226,28.0,57.0,45.0,67.0,1000.0,87.0,6.8,1023.1,-15.9,0.0,5.2
227,25.0,49.0,24.0,47.0,800.0,87.0,8.3,1022.4,-14.7,0.0,4.6
228,26.0,54.0,21.0,35.0,800.0,87.0,9.8,1021.9,-14.2,0.0,2.7
229,29.0,53.0,22.0,36.0,700.0,87.0,10.4,1021.0,-14.4,0.0,0.4
230,38.0,50.0,21.0,39.0,600.0,87.0,11.2,1020.0,-13.8,0.0,2.8
231,28.0,42.0,14.0,33.0,500.0,85.0,11.4,1019.0,-13.6,0.0,4.0
232,32.0,49.0,14.0,30.0,500.0,96.0,11.3,1018.7,-14.5,0.0,4.5
233,37.0,65.0,16.0,31.0,500.0,96.0,10.4,1018.3,-13.7,0.0,4.1
234,39.0,70.0,24.0,37.0,500.0,96.0,9.1,1018.2,-13.4,0.0,4.4
235,48.0,78.0,24.0,42.0,600.0,96.0,8.2,1018.5,-12.3,0.0,2.6
236,52.0,90.0,26.0,51.0,700.0,96.0,7.7,1018.8,-11.1,0.0,2.3
237,70.0,115.0,33.0,65.0,900.0,96.0,7.4,1018.8,-10.9,0.0,3.5
238,66.0,110.0,28.0,65.0,1000.0,96.0,6.5,1018.9,-10.3,0.0,2.7
239,73.0,119.0,38.0,64.0,1000.0,96.0,5.9,1018.5,-10.0,0.0,2.4
240,85.0,139.0,57.0,76.0,1200.0,96.0,3.0,1018.7,-9.0,0.0,0.9
241,83.0,138.0,60.0,72.0,1200.0,96.0,0.3,1018.5,-8.7,0.0,1.4
242,94.0,146.0,65.0,80.0,1200.0,96.0,-0.7,1018.0,-7.3,0.0,0.7
243,91.0,135.0,64.0,73.0,1200.0,96.0,-1.7,1017.4,-7.0,0.0,0.5
244,103.0,144.0,82.0,81.0,1200.0,96.0,-2.1,1017.2,-6.5,0.0,0.6
245,114.0,152.0,92.0,79.0,1300.0,96.0,-1.6,1016.9,-7.9,0.0,1.1
246,119.0,161.0,100.0,81.0,1300.0,96.0,-2.3,1016.9,-8.0,0.0,0.1
247,110.0,142.0,92.0,81.0,1399.0,96.0,-2.1,1017.0,-8.0,0.0,0.9
248,112.0,134.0,102.0,77.0,1399.0,96.0,1.3,1017.4,-8.3,0.0,1.9
249,92.0,114.0,84.0,74.0,1300.0,96.0,3.1,1017.5,-8.6,0.0,1.8
250,101.0,133.0,103.0,87.0,1899.0,96.0,4.6,1016.8,-8.2,0.0,1.8
251,120.0,172.0,114.0,104.0,2600.0,96.0,6.7,1016.0,-8.1,0.0,1.4
252,129.0,179.0,99.0,114.0,2700.0,96.0,7.6,1015.0,-8.1,0.0,1.3
253,125.0,148.0,97.0,97.0,1899.0,96.0,9.7,1013.4,-7.5,0.0,1.6
254,111.0,133.0,100.0,81.0,1399.0,96.0,11.3,1012.3,-7.1,0.0,3.5
255,109.0,138.0,96.0,76.0,1200.0,96.0,11.4,1010.9,-7.5,0.0,2.5
256,98.0,129.0,92.0,68.0,1100.0,95.0,10.7,1010.3,-6.2,0.0,2.1
257,112.0,158.0,114.0,80.0,1399.0,84.0,10.4,1009.5,-6.5,0.0,3.4
258,130.0,182.0,164.0,93.0,2000.0,83.0,9.7,1009.7,-5.8,0.0,2.1
259,152.0,224.0,189.0,112.0,2500.0,76.0,9.7,1009.8,-5.1,0.0,2.0
260,168.0,238.0,189.0,129.0,2700.0,54.0,9.6,1010.0,-4.4,0.0,1.5
261,176.0,251.0,179.0,129.0,2600.0,53.0,9.8,1010.4,-2.8,0.0,1.3
262,174.0,235.0,139.0,122.0,2200.0,53.0,9.6,1009.8,-2.7,0.0,1.5
263,141.0,194.0,96.0,114.0,1800.0,53.0,9.3,1009.2,-4.0,0.0,1.5
264,100.0,131.0,52.0,100.0,1300.0,53.0,8.6,1008.0,-4.6,0.0,1.1
265,88.0,110.0,49.0,88.0,1300.0,53.0,6.3,1007.5,-2.8,0.0,1.0
266,102.0,133.0,64.0,93.0,1600.0,53.0,4.8,1006.8,-2.8,0.0,0.0
267,117.0,144.0,70.0,91.0,1600.0,53.0,5.3,1005.8,-1.0,0.0,0.2
268,111.0,129.0,62.0,85.0,1399.0,53.0,6.4,1005.8,-1.0,0.1,2.2
269,110.0,132.0,61.0,84.0,1399.0,53.0,4.3,1006.3,1.5,0.4,0.9
270,153.0,217.0,41.0,96.0,2600.0,53.0,4.7,1006.1,1.5,0.1,1.3
271,144.0,155.0,27.0,91.0,2700.0,53.0,4.1,1006.2,2.6,0.9,1.0
272,109.0,120.0,26.0,87.0,2100.0,53.0,3.5,1006.9,2.2,0.9,1.4
273,98.0,105.0,19.0,85.0,2100.0,53.0,3.1,1006.9,1.9,0.4,1.5
274,100.0,104.0,21.0,86.0,2100.0,53.0,3.4,1006.6,2.2,0.0,1.3
275,105.0,113.0,23.0,88.0,2299.0,53.0,3.7,1006.8,2.2,0.0,0.9
276,148.0,114.0,23.0,86.0,2100.0,53.0,4.4,1006.5,2.6,0.0,1.4
277,140.0,110.0,24.0,86.0,2100.0,53.0,4.8,1006.8,2.2,0.0,1.5
278,136.0,93.0,32.0,82.0,1800.0,53.0,5.3,1006.6,2.8,0.1,1.8
279,137.0,100.0,33.0,81.0,1800.0,53.0,5.6,1007.1,2.9,0.0,1.6
280,139.0,104.0,34.0,81.0,1800.0,45.0,6.4,1007.6,3.2,0.0,1.5
281,131.0,98.0,31.0,77.0,1700.0,31.0,6.6,1008.1,3.2,0.0,0.6
282,108.0,110.0,40.0,86.0,1800.0,17.0,6.4,1009.4,3.4,0.0,1.4
283,114.0,131.0,41.0,98.0,2000.0,10.0,5.8,1011.1,3.1,0.0,0.4
284,117.0,124.0,31.0,99.0,2000.0,10.0,3.3,1012.5,2.1,0.0,0.5
285,135.0,117.0,29.0,92.0,1800.0,10.0,2.9,1014.1,2.2,0.0,0.7
